Token.ID	Corpus	Text.ID	Genre	Comments	Type	Semantic.Relation	Whole.Genitive	Whole.Sentence	Possessor	Possessor.Head	Possessor.Expression.Type	Final.Sibilant	Possessum	Possessum.Head	Possessor.Animacy	Possessum.Animacy	Possessor.Givenness	Possessor.Word.Count	Possessum.Word.Count	Possessor.Syl.Count	Possessum.Syl.Count	Prior.Genitive	Possessor.Animacy.Bin	Possessum.Animacy.Bin	Semantic.Relation.Bin	TypeTokenRatio	PossessorFreq	PossessumFreq	PossessorTextFreq	PossessumTextFreq	PossessorLogTFreq	PossessumLogTFreq	Prior.Genitive.Bin	Genre.Bin
11	Frown	A01	Press		s	OTH	the Bush administration's favorable trade dealings	Clinton also upped the ante somewhat in his rhetorical war with Bush over the president 's dealings with Saddam Hussein prior to the Persian Gulf war , saying a special prosecutor should investigate the Bush administration 's favorable trade dealings with Iraq and the extent to which Bush continued helping Hussein after the U.S. administration learned Hussein was using agriculture credits for military purposes .	the Bush administration	administration	CommonN	N	favorable trade dealings	dealings	inanimate abstract	inanimate abstract	n	3	3	3	1	s	Inanim	Inanim	N	75	5	2	0.0025	0.001	-2.602059991	-3	Y	Press
12	Frown	A01	Press		s	OTH	the president's dealings	Clinton also upped the ante somewhat in his rhetorical war with Bush over the president 's dealings with Saddam Hussein prior to the Persian Gulf war , saying a special prosecutor should investigate the Bush administration 's favorable trade dealings with Iraq and the extent to which Bush continued helping Hussein after the U.S. administration learned Hussein was using agriculture credits for military purposes .	the president	president	CommonN	N	dealings	dealings	human	inanimate abstract	g	2	2	2	1	s	Anim	Inanim	N	80	19	2	0.0095	0.001	-2.022276395	-3	Y	Press
13	Frown	A01	Press		s	OTH	the administration's pre-war trade agreements with Hussein	Asked by King whether there should be `` a special prosecutor , special investigation , '' of the administration 's pre-war trade agreements with Hussein , Clinton responded , `` I think there should be . ''	the administration	administration	CommonN	N	pre-war trade agreements with Hussein	agreements	inanimate abstract	inanimate abstract	n	2	2	2	5	s	Inanim	Inanim	N	77	5	1	0.0025	0.0005	-2.602059991	-3.301029996	Y	Press
14	Frown	A01	Press		s	OTH	Bush's camp	Clinton also defended his 1970 travels , which Bush 's camp has insinuated were somehow connected to his alleged organization of at least one anti-Vietnam War protest as a graduate student in England .	Bush	Bush	ProperN	N	camp	camp	human	place	g	1	1	1	1	s	Anim	Inanim	N	81	28	9	0.014	0.0045	-1.853871964	-2.346787486	Y	Press
15	Frown	A01	Press		s	OTH	Arkansas' poor standing	Bush concentrated his fire on Arkansas ' poor standing among the 50 states in the death rate for children under 14 , the number of children in poverty and the violent death rate of youngsters .	Arkansas	Arkansas	ProperN	N	poor standing	standing	place	inanimate abstract	n	1	1	1	2	s	Inanim	Inanim	N	71	2	1	0.001	0.0005	-3	-3.301029996	Y	Press
16	Frown	A01	Press		of	OTH	the violent death rate of youngsters	Bush concentrated his fire on Arkansas ' poor standing among the 50 states in the death rate for children under 14 , the number of children in poverty and the violent death rate of youngsters .	youngsters	youngsters	CommonN	Y	the violent death rate	death rate	human	inanimate abstract	n	1	1	1	4	s	Anim	Inanim	N	68	1	0	5e-4	0	-3.301029996	-3.301029996	Y	Press
17	Frown	A01	Press		of	OTH	the number of children in poverty	Bush concentrated his fire on Arkansas ' poor standing among the 50 states in the death rate for children under 14 , the number of children in poverty and the violent death rate of youngsters .	children in poverty	children	CommonN	N	the number	number	human	inanimate abstract	n	3	3	3	2	of	Anim	Inanim	N	70	3	1	0.0015	0.0005	-2.823908741	-3.301029996	N	Press
18	Frown	A01	Press		of	OTH	the protection of American jobs	Clinton endorsed the agreement Sunday but said additional steps should be taken to ensure the protection of American jobs and the environment as the agreement was implemented .	American jobs	jobs	CommonN	Y	the protection	protection	inanimate abstract	inanimate abstract	n	2	2	2	2	of	Inanim	Inanim	N	42	1	1	5e-4	0.0005	-3.301029996	-3.301029996	N	Press
20	Frown	A01	Press		s	OTH	the vice president's press secretary	Gay protesters chanting anti-Quayle slogans prompted the vice president 's press secretary , David Beckwith , to charge that Democrat Bill Clinton `` advocated affirmative action for gays . ''	the vice president	president	CommonN	N	press secretary	secretary	human	human	n	3	3	3	2	s	Anim	Anim	N	84	19	1	0.0095	0.0005	-2.022276395	-3.301029996	Y	Press
21	Frown	A02	Press		s	OTH	Bush's way	Dilemma headed Bush 's way	Bush	Bush	ProperN	N	way	way	human	inanimate abstract	n	1	1	1	1	n	Anim	Inanim	N	72	25	2	0.0125	0.001	-1.903089987	-3	N	Press
22	Frown	A02	Press		s	OTH	Bush's favor	With the elimination of most of the tax hikes , some Republicans said it was tilted in Bush 's favor .	Bush	Bush	ProperN	N	favor	favor	human	inanimate abstract	g	1	1	1	1	s	Anim	Inanim	N	73	25	1	0.0125	0.0005	-1.903089987	-3.301029996	Y	Press
23	Frown	A02	Press		of	OTH	elimination of most of the tax hikes	With the elimination of most of the tax hikes , some Republicans said it was tilted in Bush 's favor .	most of the tax hikes	most	CommonN	Y	elimination	elimination	time	inanimate abstract	n	5	5	5	1	s	Inanim	Inanim	N	76	6	1	0.003	0.0005	-2.522878745	-3.301029996	Y	Press
24	Frown	A02	Press		of	OTH	the extension of a racing season	For example , in charging that Democrat Bill Clinton has raised taxes and fees 128 times as governor , Bush has said that everything from the extension of a racing season to a fee for mineral rights is a tax or fee .	a racing season	season	CommonN	N	the extension	extension	time	inanimate abstract	n	3	3	2	2	of	Inanim	Inanim	N	72	1	1	5e-4	0.0005	-3.301029996	-3.301029996	N	Press
25	Frown	A02	Press		s	OTH	Bush's claims	If Bush now signs a bill that has several items that would qualify as a tax or fee , it might undermine Bush 's claims about Clinton 's tax record .	Bush	Bush	ProperN	N	claims	claims	human	inanimate abstract	g	1	1	1	1	of	Anim	Inanim	N	72	25	1	0.0125	0.0005	-1.903089987	-3.301029996	N	Press
26	Frown	A02	Press		s	OTH	Clinton's tax record	If Bush now signs a bill that has several items that would qualify as a tax or fee , it might undermine Bush 's claims about Clinton 's tax record .	Clinton	Clinton	ProperN	N	tax record	record	human	inanimate abstract	n	1	1	1	2	s	Anim	Inanim	N	72	6	1	0.003	0.0005	-2.522878745	-3.301029996	Y	Press
28	Frown	A02	Press		s	OTH	Nevada's two members	But it immediately ran into problems in the Senate , where Nevada 's two members vowed to delay the bill because of a provision they said would weaken health standards for a proposed nuclear waste dump at Yucca Mountain 100 miles northeast of Las Vegas .	Nevada	Nevada	ProperN	N	two members	members	place	human	g	1	1	1	2	of	Inanim	Anim	N	75	4	2	0.002	0.001	-2.698970004	-3	N	Press
29	Frown	A02	Press		of	OTH	the first major overhaul of U.S. energy policy	The bill 's supporters said they still expected Senate approval of the complex and sweeping energy package , which would mark the first major overhaul of U.S. energy policy in more than a decade .	U.S. energy policy	policy	CommonN	N	the first major overhaul	overhaul	inanimate abstract	inanimate abstract	n	3	3	NA	NA	s	Inanim	Inanim	N	79	2	1	0.001	0.0005	-3	-3.301029996	Y	Press
30	Frown	A02	Press		s	OTH	The bill's supporters	The bill 's supporters said they still expected Senate approval of the complex and sweeping energy package , which would mark the first major overhaul of U.S. energy policy in more than a decade .	The bill	bill	CommonN	N	supporters	supporters	inanimate abstract	human	g	2	2	2	1	of	Inanim	Anim	N	80	39	1	0.0195	0.0005	-1.709965389	-3.301029996	N	Press
31	Frown	A02	Press		of	OTH	Senate approval of the complex and sweeping energy package	The bill 's supporters said they still expected Senate approval of the complex and sweeping energy package , which would mark the first major overhaul of U.S. energy policy in more than a decade .	the complex and sweeping energy package	package	CommonN	N	Senate approval	approval	inanimate abstract	inanimate abstract	n	6	6	6	2	s	Inanim	Inanim	N	78	1	3	5e-4	0.0015	-3.301029996	-2.823908741	Y	Press
32	Frown	A02	Press		s	OTH	the bill's manager	But with most lawmakers eager to adjourn , the Nevadans hoped a delay threat might force Sen. Bennett Johnston , D-La. , the bill 's manager , to abandon the Yucca Mountain provision .	the bill	bill	CommonN	N	manager	manager	inanimate abstract	human	g	2	2	2	1	of	Inanim	Anim	N	81	39	1	0.0195	0.0005	-1.709965389	-3.301029996	N	Press
33	Frown	A02	Press		of	OTH	the approval of 60 members	It then would take the approval of 60 members to bring the measure up for a vote .	60 members	members	CommonN	Y	the approval	approval	human	inanimate abstract	g	2	2	NA	2	s	Anim	Inanim	N	85	2	3	0.001	0.0015	-3	-2.823908741	Y	Press
34	Frown	A02	Press		s	OTH	House of Representatives' bill	Also in the House of Representatives ' bill was more than $65 million for refurbishing the Presidio over the next two years .	House of Representatives	House of Representatives	ProperN	Y	bill	bill	collective human	inanimate abstract	n	3	3	3	1	of	Inanim	Inanim	N	79	1	39	5e-4	0.0195	-3.301029996	-1.709965389	N	Press
35	Frown	A02	Press		s	OTH	the Hunters Point Naval Shipyard's massive hazardous waste problems	The bill also included language that protects San Francisco against legal damages caused by the Hunters Point Naval Shipyard 's massive hazardous waste problems .	the Hunters Point Naval Shipyard	Hunters Point Naval Shipyard	ProperN	N	massive hazardous waste problems	problems	place	inanimate abstract	n	5	5	5	4	s	Inanim	Inanim	N	76	1	3	5e-4	0.0015	-3.301029996	-2.823908741	Y	Press
36	Frown	A02	Press		of	OTH	conversion of the shipyard	`` This protects us from any lawsuit stemming from toxic wastes , '' said San Francisco Redevelopment Agency Executive Director Edward Helfeld , noting that the federal action - assuming it is signed by President Bush - would remove a principal barrier to conversion of the shipyard to civilian use .	the shipyard	shipyard	CommonN	N	conversion	conversion	place	inanimate abstract	n	2	2	2	1	s	Inanim	Inanim	N	87	2	1	0.001	0.0005	-3	-3.301029996	Y	Press
37	Frown	A02	Press		s	OTH	the 540-acre site's rundown systems	But before new uses can be developed , much public investment will be needed to improve the 540-acre site 's rundown systems for water delivery , storm runoff , sanitary disposal , fire protection and transportation .	the 540-acre site	site	CommonN	N	rundown systems	systems	place	inanimate abstract	n	3	3	NA	1	of	Inanim	Inanim	N	82	2	1	0.001	0.0005	-3	-3.301029996	N	Press
38	Frown	A02	Press	deverbal	of	OTH	abandonment of the measure	Their threat of a new filibuster was enough to force abandonment of the measure .	the measure	measure	CommonN	N	abandonment	abandonment	inanimate abstract	inanimate abstract	n	2	2	2	1	s	Inanim	Inanim	N	78	7	1	0.0035	0.0005	-2.455931956	-3.301029996	Y	Press
39	Frown	A02	Press		of	OTH	The threat of a filibuster	The threat of a filibuster also killed the so-called `` Brady bill , '' requiring a five-day waiting period before a handgun sale could be completed .	a filibuster	filibuster	CommonN	N	The threat	threat	inanimate abstract	inanimate abstract	n	2	2	2	2	of	Inanim	Inanim	N	80	3	5	0.0015	0.0025	-2.823908741	-2.602059991	N	Press
40	Frown	A02	Press		s	OTH	Bush's signature	The House and Senate cleared for Bush 's signature a $14 billion foreign-aid bill .	Bush	Bush	ProperN	N	signature	signature	human	inanimate concrete	n	1	1	1	1	of	Anim	Inanim	N	73	25	1	0.0125	0.0005	-1.903089987	-3.301029996	N	Press
41	Frown	A02	Press		s	OTH	Brazil's uncertain future	Brazil 's uncertain future	Brazil	Brazil	ProperN	N	uncertain future	future	place	inanimate abstract	n	1	1	1	2	s	Inanim	Inanim	N	33	9	1	0.0045	0.0005	-2.346787486	-3.301029996	Y	Press
42	Frown	A02	Press		s	OTH	Brazil's first freely elected president	Collor - Brazil 's first freely elected president in 29 years - was suspended by the lower house of Congress after being accused of skimming millions of dollars from a bribery and kickback scheme operated by his 1989 campaign treasurer .	Brazil	Brazil	ProperN	N	first freely elected president	president	place	human	g	1	1	1	4	s	Inanim	Anim	N	80	9	8	0.0045	0.004	-2.346787486	-2.397940009	Y	Press
43	Frown	A02	Press		of	OTH	lower house of Congress	Collor - Brazil 's first freely elected president in 29 years - was suspended by the lower house of Congress after being accused of skimming millions of dollars from a bribery and kickback scheme operated by his 1989 campaign treasurer .	Congress	Congress	ProperN	Y	lower house	house	collective human	place	n	1	1	1	2	s	Inanim	Inanim	N	80	8	3	0.004	0.0015	-2.397940009	-2.823908741	Y	Press
44	Frown	A02	Press		s	OTH	last week's action	And though last week 's action suspends him for only 180 days , until the Senate votes on whether to make impeachment final , his removal has been described as a triumph of democracy - an affirmation of change in a country and continent known for coups , assassinations , mind-boggling corruption and government ineptitude .	last week	week	CommonN	N	action	action	time	inanimate abstract	n	2	2	2	1	of	Inanim	Inanim	N	79	1	3	5e-4	0.0015	-3.301029996	-2.823908741	N	Press
45	Frown	A02	Press		s	OTH	Brazil's new foreign minister	`` It is the first time in Brazilian history that a president has been put out of power by the interplay between Congress , the Supreme Court and the population , without any threat , any military pressure at all , '' said Fernando Henrique Cardoso , a prominent senator who was named Brazil 's new foreign minister .	Brazil	Brazil	ProperN	N	new foreign minister	minister	place	human	g	1	1	1	3	s	Inanim	Anim	N	75	9	1	0.0045	0.0005	-2.346787486	-3.301029996	Y	Press
46	Frown	A02	Press	deverbal	s	OTH	Collor's removal	In a continent with weak democratic traditions , where power is still wielded by individuals , Collor 's removal by constitutional means demonstrates to South Americans that democracy can work .	Collor	Collor	ProperN	N	removal	removal	human	inanimate abstract	n	1	1	NA	1	s	Anim	Inanim	N	75	4	4	0.002	0.002	-2.698970004	-2.698970004	Y	Press
47	Frown	A02	Press		of	OTH	the voice of the people	Congress heard the voice of the people .	the people	people	CommonN	N	the voice	voice	human	inanimate abstract	n	2	2	2	2	s	Anim	Inanim	N	80	3	2	0.0015	0.001	-2.823908741	-3	Y	Press
48	Frown	A02	Press	deverbal	s	OTH	Collor's removal	But Collor 's removal may prove to be the exception rather than the rule : While South Americans prefer democracy , in most countries their elected leaders have not even begun to solve dire economic and social problems - unequal distribution of land , the lack of basic health care and education , a huge gap between rich and poor .	Collor	Collor	ProperN	N	removal	removal	human	inanimate abstract	n	1	1	NA	1	of	Anim	Inanim	N	82	4	4	0.002	0.002	-2.698970004	-2.698970004	N	Press
49	Frown	A02	Press	deverbal	of	OTH	unequal distribution of land	But Collor 's removal may prove to be the exception rather than the rule : While South Americans prefer democracy , in most countries their elected leaders have not even begun to solve dire economic and social problems - unequal distribution of land , the lack of basic health care and education , a huge gap between rich and poor .	land	land	CommonN	N	unequal distribution	distribution	place	inanimate abstract	n	1	1	1	2	s	Inanim	Inanim	N	75	1	1	5e-4	0.0005	-3.301029996	-3.301029996	Y	Press
50	Frown	A02	Press		of	OTH	the lack of basic health care	But Collor 's removal may prove to be the exception rather than the rule : While South Americans prefer democracy , in most countries their elected leaders have not even begun to solve dire economic and social problems - unequal distribution of land , the lack of basic health care and education , a huge gap between rich and poor .	basic health care	care	CommonN	N	the lack	lack	inanimate abstract	inanimate abstract	n	3	3	3	2	of	Inanim	Inanim	N	74	1	1	5e-4	0.0005	-3.301029996	-3.301029996	N	Press
51	Frown	A02	Press		s	OTH	that nation's bloody and disastrous military rule	It also seems relatively stable in Argentina , primarily because the memory is fresh of that nation 's bloody and disastrous military rule in the 1970s and early 1980s .	that nation	nation	CommonN	N	bloody and disastrous military rule	rule	place	inanimate abstract	n	2	2	2	5	of	Inanim	Inanim	N	80	7	3	0.0035	0.0015	-2.455931956	-2.823908741	N	Press
52	Frown	A02	Press		s	OTH	The nation's last military dictatorship	The nation 's last military dictatorship ended in 1958 , and its mercurial and strong-armed rule are a distant memory .	The nation	nation	CommonN	N	last military dictatorship	dictatorship	place	inanimate abstract	n	2	2	2	3	s	Inanim	Inanim	N	84	7	1	0.0035	0.0005	-2.455931956	-3.301029996	Y	Press
53	Frown	A02	Press		s	OTH	the nation's Congress and judiciary	Fujimori said the nation 's Congress and judiciary were frustrating his efforts to defeat the leftist guerrillas and reverse the nation 's economic decline .	the nation	nation	CommonN	N	Congress and judiciary	Congress	place	collective human	n	2	2	2	3	s	Inanim	Inanim	N	81	7	8	0.0035	0.004	-2.455931956	-2.397940009	Y	Press
54	Frown	A02	Press		s	OTH	the nation's economic decline	Fujimori said the nation 's Congress and judiciary were frustrating his efforts to defeat the leftist guerrillas and reverse the nation 's economic decline .	the nation	nation	CommonN	N	economic decline	decline	place	inanimate abstract	n	2	2	2	2	s	Inanim	Inanim	N	74	7	2	0.0035	0.001	-2.455931956	-3	Y	Press
55	Frown	A03	Press		of	OTH	Size of U.S. Economy	Bush Wants to Double Size of U.S. Economy	U.S. Economy	Economy	CommonN	N	Size	Size	inanimate abstract	inanimate abstract	n	2	2	1	1	n	Inanim	Inanim	N	72	1	1	5e-4	0.0005	-3.301029996	-3.301029996	N	Press
56	Frown	A03	Press		of	OTH	the size of the U.S. economy	If achieved , the target for post&rehy;recession growth would nearly double the size of the U.S. economy - as measured by the value of the goods produced in its factories and the services workers offer - by the early years of the 21st century .	the U.S. economy	economy	CommonN	N	the size	size	inanimate abstract	inanimate abstract	n	3	3	NA	2	of	Inanim	Inanim	N	70	4	1	0.002	0.0005	-2.698970004	-3.301029996	N	Press
57	Frown	A03	Press		of	OTH	the early years of the 21st century	If achieved , the target for post&rehy;recession growth would nearly double the size of the U.S. economy - as measured by the value of the goods produced in its factories and the services workers offer - by the early years of the 21st century .	the 21st century	century	CommonN	N	the early years	years	time	time	n	3	3	NA	3	of	Inanim	Inanim	N	72	1	5	5e-4	0.0025	-3.301029996	-2.602059991	N	Press
58	Frown	A03	Press		of	OTH	the value of the goods produced in its factories and the services workers offer	If achieved , the target for post&rehy;recession growth would nearly double the size of the U.S. economy - as measured by the value of the goods produced in its factories and the services workers offer - by the early years of the 21st century .	the goods produced in its factories and the services workers offer	goods	CommonN	N	the value	value	inanimate concrete	inanimate abstract	n	11	11	11	2	of	Inanim	Inanim	N	72	1	7	5e-4	0.0035	-3.301029996	-2.455931956	N	Press
59	Frown	A03	Press		of	OTH	the challenges of the future	In a lengthy speech that focused on the failures of the past and the challenges of the future - and little on the most immediate and pressing problems facing American workers - the president offered no new plans or short-term solutions to ease recession-induced fears over job security .	the future	future	CommonN	N	the challenges	challenges	inanimate abstract	inanimate abstract	n	2	2	2	2	of	Inanim	Inanim	N	68	1	1	5e-4	0.0005	-3.301029996	-3.301029996	N	Press
60	Frown	A03	Press		of	OTH	the failures of the past	In a lengthy speech that focused on the failures of the past and the challenges of the future - and little on the most immediate and pressing problems facing American workers - the president offered no new plans or short-term solutions to ease recession-induced fears over job security .	the past	past	CommonN	N	the failures	failures	time	inanimate abstract	n	2	2	2	2	of	Inanim	Inanim	N	70	2	1	0.001	0.0005	-3	-3.301029996	N	Press
61	Frown	A03	Press		of	OTH	the Economic Club of Detroit	The speech to the Economic Club of Detroit , titled `` Agenda for American Renewal , '' outlined a philosophical approach that calls for cutting taxes , paying for the tax cuts by reducing government spending and producing a shrunken government , in the process providing incentives to a streamlined business community so that it can reach the $10 trillion goal .	Detroit	Detroit	ProperN	N	the Economic Club	Economic Club	place	collective human	n	1	1	1	3	of	Inanim	Inanim	N	76	2	0	0.001	0	-3	-3.301029996	N	Press
62	Frown	A03	Press		of	OTH	interests of all Americans	`` That 's the direction I want to go : Tax less , spend less , cut the deficit and redirect our current spending to serve the interests of all Americans , '' Bush said .	all Americans	Americans	CommonN	Y	interests	interests	collective human	inanimate abstract	n	2	2	2	1	of	Inanim	Inanim	N	75	2	1	0.001	0.0005	-3	-3.301029996	N	Press
63	Frown	A03	Press		s	OTH	Bush's purpose	`` That is an illustration because it would depend on if you could get the $130 billion , '' a senior administration official said , explaining that Bush 's purpose in using the figure was to demonstrate the sort of break taxpayers would get in spending .	Bush	Bush	ProperN	N	purpose	purpose	human	inanimate abstract	g	1	1	1	1	of	Anim	Inanim	N	72	15	1	0.0075	0.0005	-2.124938737	-3.301029996	N	Press
64	Frown	A03	Press		of	OTH	the operating budget of the executive office of the president	And in what he called `` right-sizing '' government , Bush said that he would cut the operating budget of the executive office of the president , which includes his immediate staff of assistants and secretaries and hundreds of people working in the Office of Management and Budget and other executive branch agencies , by 33 percent if Congress - with a staff many times larger - agrees to a similar percentage reduction in its operating budget .	the executive office of the president	office	CommonN	N	the operating budget	budget	place	inanimate abstract	n	6	6	6	3	s	Inanim	Inanim	N	75	1	2	5e-4	0.001	-3.301029996	-3	Y	Press
65	Frown	A03	Press		of	OTH	the salaries of all federal employees earning more	`` And , '' he said , `` I 'll cut the salaries of all federal employees earning more	all federal employees earning more	employees	CommonN	N	the salaries	salaries	human	inanimate abstract	n	5	5	5	2	of	Anim	Inanim	N	78	3	1	0.0015	0.0005	-2.823908741	-3.301029996	N	Press
66	Frown	A03	Press		s	OTH	the president's proposals	Democratic presidential nominee Bill Clinton said that the president 's proposals amounted to more of the same programs that have led the nation into economic decline .	the president	president	CommonN	N	proposals	proposals	human	inanimate abstract	n	2	2	2	1	of	Anim	Inanim	N	78	8	1	0.004	0.0005	-2.397940009	-3.301029996	N	Press
67	Frown	A03	Press		of	OTH	the failed policies of this administration	`` I strongly believe we have to go beyond the failed policies of this administration , beyond trickle-down economics .	this administration	administration	CommonN	N	the failed policies	policies	inanimate abstract	inanimate abstract	n	2	2	2	3	s	Inanim	Inanim	N	78	3	1	0.0015	0.0005	-2.823908741	-3.301029996	Y	Press
68	Frown	A03	Press		s	OWN	the governor's mansion	We need real incentives to invest in this country , to educate our people , to control health care costs and to compete around the world , '' he said in a statement made by satellite from the governor 's mansion in Little Rock , Ark .	the governor	governor	CommonN	N	mansion	mansion	human	inanimate concrete	n	2	2	2	1	of	Anim	Inanim	Y	78	3	1	0.0015	0.0005	-2.823908741	-3.301029996	N	Press
69	Frown	A03	Press		s	OTH	Bush's plan	Clinton contended that under Bush 's plan , Americans with incomes of more than $200,000 would get a $14,000 tax cut , while those making $20,000 would get about $50 .	Bush	Bush	ProperN	N	plan	plan	human	inanimate abstract	n	1	1	1	1	s	Anim	Inanim	N	79	15	3	0.0075	0.0015	-2.124938737	-2.823908741	Y	Press
71	Frown	A03	Press		s	OTH	Bush's speech	Despite Clinton 's critique and Bush 's own description of a `` grand canyon '' between himself and the governor , Bush 's speech and an address Clinton delivered to the same organization on August 21 demonstrated the degree of similarity in their approaches .	Bush	Bush	ProperN	N	speech	speech	human	inanimate abstract	n	1	1	1	1	s	Anim	Inanim	N	81	15	5	0.0075	0.0025	-2.124938737	-2.602059991	Y	Press
72	Frown	A03	Press		s	OTH	Clinton's critique	Despite Clinton 's critique and Bush 's own description of a `` grand canyon '' between himself and the governor , Bush 's speech and an address Clinton delivered to the same organization on August 21 demonstrated the degree of similarity in their approaches .	Clinton	Clinton	ProperN	N	critique	critique	human	inanimate abstract	g	1	1	1	1	s	Anim	Inanim	N	78	7	1	0.0035	0.0005	-2.455931956	-3.301029996	Y	Press
73	Frown	A03	Press		s	OTH	Clinton's principal difference	Clinton 's principal difference with Bush , as outlined in the August 21 speech , is over the formation of a `` national economic strategy , '' which the president labeled an `` industrial policy '' that he says would give government too great a role in directing the nation 's businesses .	Clinton	Clinton	ProperN	N	principal difference	difference	human	inanimate abstract	g	1	1	1	2	s	Anim	Inanim	N	82	7	2	0.0035	0.001	-2.455931956	-3	Y	Press
75	Frown	A03	Press		s	OTH	The nation's businesses	Clinton 's principal difference with Bush , as outlined in the August 21 speech , is over the formation of a `` national economic strategy , '' which the president labeled an `` industrial policy '' that he says would give government too great a role in directing the nation 's businesses .	The nation	nation	CommonN	N	businesses	businesses	place	collective human	n	2	2	2	1	of	Inanim	Inanim	N	92	8	2	0.004	0.001	-2.397940009	-3	N	Press
76	Frown	A03	Press		s	OTH	President's Plan	House OKs President 's Plan	President	President	ProperN	N	Plan	Plan	human	inanimate abstract	n	1	1	1	1	s	Anim	Inanim	N	66	5	1	0.0025	0.0005	-2.602059991	-3.301029996	Y	Press
77	Frown	A03	Press		s	OTH	Congress' most forceful entry	Yesterday 's action , which followed passage on a voice vote in the Senate last month , was Congress ' most forceful entry into the presidential campaign , a measure that Democrats believe will help Arkansas Governor Bill Clinton .	Congress	Congress	ProperN	Y	most forceful entry	entry	collective human	inanimate abstract	n	1	1	1	3	s	Inanim	Inanim	N	72	4	1	0.002	0.0005	-2.698970004	-3.301029996	Y	Press
